cas,smiles
50-00-0,O=C
50-67-9,OC=1C=CC=2NC=C(C2C1)CCN
50-70-4,OCC(O)C(O)C(O)C(O)CO
50-78-2,O=C(O)C=1C=CC=CC1OC(=O)C
50-81-7,O=C1OC(C(O)=C1O)C(O)CO
50-99-7,O=CC(O)C(O)C(O)C(O)CO
51-17-2,N1=CNC=2C=CC=CC12
51-35-4,O=C(O)C1NCC(O)C1
51-79-6,O=C(OCC)N
55-21-0,O=C(N)C=1C=CC=CC1
56-12-2,O=C(O)CCCN
56-23-5,ClC(Cl)(Cl)Cl
56-24-6,C[Sn+](C)C.[OH-]
56-37-1,[Cl-].C=1C=CC(=CC1)C[N+](CC)(CC)CC
56-40-6,O=C(O)CN
56-41-7,O=C(O)C(N)C
56-45-1,O=C(O)C(N)CO
56-54-2,OC(C=1C=CN=C2C=CC(OC)=CC21)C3N4CCC(C3)C(C=C)C4
56-84-8,O=C(O)CC(N)C(=O)O
57-10-3,O=C(O)CCCCCCCCCCCCCCC
57-11-4,O=C(O)CCCCCCCCCCCCCCCCC
57-41-0,O=C1NC(=O)C(N1)(C=2C=CC=CC2)C=3C=CC=CC3
58-85-5,O=C1NC2CSC(CCCCC(=O)O)C2N1
59-31-4,O=C1C=CC=2C=CC=CC2N1
59-48-3,O=C1NC=2C=CC=CC2C1
59-51-8,O=C(O)C(N)CCSC
59-88-1,Cl.NNC=1C=CC=CC1
60-12-8,OCCC=1C=CC=CC1
60-18-4,O=C(O)C(N)CC1=CC=C(O)C=C1
60-29-7,O(CC)CC
60-32-2,O=C(O)CCCCCN
60-35-5,O=C(N)C
61-54-1,NCCC1=CNC=2C=CC=CC21
62-23-7,O=C(O)C1=CC=C(C=C1)N(=O)=O
62-53-3,NC=1C=CC=CC1
62-55-5,S=C(N)C
62-56-6,S=C(N)N
64-04-0,NCCC=1C=CC=CC1
64-17-5,OCC
64-18-6,O=CO
64-19-7,O=C(O)C
64-69-7,O=C(O)CI
65-85-0,O=C(O)C=1C=CC=CC1
66-71-7,N=1C=CC=C2C=CC=3C=CC=NC3C12
66-77-3,O=CC1=CC=CC=2C=CC=CC12
66-99-9,O=CC=1C=CC=2C=CC=CC2C1
67-56-1,OC
67-63-0,OC(C)C
67-64-1,O=C(C)C
67-66-3,ClC(Cl)Cl
67-68-5,O=S(C)C
68-12-2,O=CN(C)C
69-72-7,O=C(O)C=1C=CC=CC1O
70-55-3,O=S(=O)(N)C1=CC=C(C=C1)C
70-78-0,O=C(O)C(N)CC1=CC=C(O)C(I)=C1
